<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDRUB;60;20181203;020000;66.7996000;67.0670000;66.7883000;67.0300000;41
USDRUB;60;20181203;030000;66.9838000;67.1208000;66.5635000;66.8228000;1884
USDRUB;60;20181203;040000;66.7710000;66.8582000;66.5455000;66.5700000;1224
USDRUB;60;20181203;050000;66.6046000;66.6623000;66.5700000;66.6390000;517
USDRUB;60;20181203;060000;66.6504000;66.6548000;66.4805000;66.5120000;537
USDRUB;60;20181203;070000;66.5627000;66.6616000;66.5084000;66.6308000;2047
USDRUB;60;20181203;080000;66.6548000;66.6597000;66.4920000;66.5500000;2868
USDRUB;60;20181203;090000;66.5607000;66.5847000;66.1991000;66.5338000;2500
USDRUB;60;20181203;100000;66.5466000;66.7238000;65.6477000;66.2764000;4565
USDRUB;60;20181203;110000;66.2620000;66.6556000;66.0390000;66.3603000;45726
USDRUB;60;20181203;120000;66.3137000;66.4681000;66.2722000;66.4605000;50554
USDRUB;60;20181203;130000;66.4160000;66.7600000;66.3954000;66.4639000;61470
USDRUB;60;20181203;140000;66.4639000;66.6108000;66.3708000;66.4909000;51643
USDRUB;60;20181203;150000;66.4905000;66.6426000;66.4126000;66.5104000;51302
USDRUB;60;20181203;160000;66.5142000;66.7055000;66.4608000;66.6462000;46533
USDRUB;60;20181203;170000;66.6462000;66.6492000;66.3560000;66.5035000;66799
USDRUB;60;20181203;180000;66.5500000;66.6163000;66.3717000;66.4643000;45735
USDRUB;60;20181203;190000;66.4628000;66.6558000;66.3933000;66.6397000;40060
USDRUB;60;20181203;200000;66.6397000;66.7213000;66.5681000;66.6492000;32648
USDRUB;60;20181203;210000;66.6492000;66.6701000;66.5346000;66.6408000;13957
USDRUB;60;20181203;220000;66.6412000;66.6796000;66.4977000;66.5676000;10371
USDRUB;60;20181203;230000;66.5735000;66.6038000;66.4470000;66.5105000;10785
USDRUB;60;20181204;000000;66.5185000;66.5900000;66.4346000;66.5060000;8461
USDRUB;60;20181204;010000;66.4978000;66.6054000;66.3970000;66.5187000;2152
USDRUB;60;20181204;020000;66.4895000;66.5271000;66.4458000;66.5190000;95
USDRUB;60;20181204;030000;66.4961000;66.6380000;66.4961000;66.5932000;244
USDRUB;60;20181204;040000;66.6050000;66.6370000;66.5506000;66.5816000;86
USDRUB;60;20181204;050000;66.5846000;66.6226000;66.5429000;66.6011000;162
USDRUB;60;20181204;060000;66.5807000;66.5973000;66.5296000;66.5973000;172
USDRUB;60;20181204;070000;66.5859000;66.5969000;66.5313000;66.5472000;166
USDRUB;60;20181204;080000;66.5606000;66.6085000;66.3865000;66.4983000;1308
USDRUB;60;20181204;090000;66.4599000;66.5008000;66.4148000;66.4443000;1190
USDRUB;60;20181204;100000;66.4673000;66.4696000;66.3665000;66.4043000;1561
USDRUB;60;20181204;110000;66.4441000;66.4874000;66.2675000;66.4692000;34413
USDRUB;60;20181204;120000;66.4692000;66.5883000;66.4091000;66.4686000;44204
USDRUB;60;20181204;130000;66.5154000;66.5388000;66.1650000;66.2446000;58649
USDRUB;60;20181204;140000;66.2431000;66.4097000;66.1488000;66.3558000;62511
USDRUB;60;20181204;150000;66.3556000;66.3790000;66.1709000;66.3167000;50606
USDRUB;60;20181204;160000;66.3641000;66.4185000;66.2786000;66.3984000;45450
USDRUB;60;20181204;170000;66.3982000;66.6059000;66.3354000;66.5966000;59804
USDRUB;60;20181204;180000;66.5917000;66.6285000;66.4532000;66.4924000;71981
USDRUB;60;20181204;190000;66.5425000;66.6471000;66.4619000;66.5850000;46956
USDRUB;60;20181204;200000;66.5850000;66.6086000;66.4461000;66.5480000;31221
USDRUB;60;20181204;210000;66.5488000;66.8769000;66.5000000;66.7701000;30013
USDRUB;60;20181204;220000;66.7738000;66.8988000;66.6817000;66.8034000;19521
USDRUB;60;20181204;230000;66.8034000;66.8288000;66.7302000;66.7775000;14557
USDRUB;60;20181205;000000;66.7350000;66.8572000;66.7060000;66.7760000;8996
USDRUB;60;20181205;010000;66.7760000;66.9420000;66.7339000;66.9195000;2298
USDRUB;60;20181205;020000;66.8645000;66.9439000;66.8225000;66.8490000;903
USDRUB;60;20181205;030000;66.9050000;66.9121000;66.6451000;66.7872000;878
USDRUB;60;20181205;040000;66.8070000;66.9015000;66.7488000;66.8515000;953
USDRUB;60;20181205;050000;66.8942000;66.9029000;66.7016000;66.8515000;865
USDRUB;60;20181205;060000;66.8994000;66.9018000;66.3787000;66.8550000;1098
USDRUB;60;20181205;070000;66.9016000;66.9020000;66.7055000;66.8540000;916
USDRUB;60;20181205;080000;66.9044000;66.9044000;66.8475000;66.8570000;1169
USDRUB;60;20181205;090000;66.8570000;66.9182000;66.8475000;66.8530000;1265
USDRUB;60;20181205;100000;66.8480000;66.9121000;66.5068000;66.8100000;631
USDRUB;60;20181205;110000;66.8059000;66.9160000;66.6879000;66.7749000;37516
USDRUB;60;20181205;120000;66.7730000;66.8405000;66.6366000;66.6980000;53641
USDRUB;60;20181205;130000;66.7447000;66.8529000;66.6656000;66.7330000;38833
USDRUB;60;20181205;140000;66.7342000;66.7748000;66.6019000;66.7423000;39109
USDRUB;60;20181205;150000;66.7419000;66.7795000;66.6117000;66.7131000;39848
USDRUB;60;20181205;160000;66.6654000;66.8110000;66.6487000;66.7295000;37825
USDRUB;60;20181205;170000;66.7354000;66.8187000;66.6809000;66.7544000;42415
USDRUB;60;20181205;180000;66.7537000;66.7857000;66.6439000;66.7528000;33468
USDRUB;60;20181205;190000;66.7682000;66.8561000;66.6987000;66.7371000;27601
USDRUB;60;20181205;200000;66.7486000;66.7630000;66.5375000;66.7034000;24749
USDRUB;60;20181205;210000;66.7152000;66.7152000;66.4620000;66.5465000;11176
USDRUB;60;20181205;220000;66.5503000;66.5503000;66.4018000;66.5166000;9886
USDRUB;60;20181205;230000;66.5260000;66.5815000;66.4825000;66.5754000;7849
USDRUB;60;20181206;000000;66.5814000;66.6069000;66.5075000;66.5438000;5682
USDRUB;60;20181206;010000;66.5581000;66.5581000;66.4485000;66.4718000;212
USDRUB;60;20181206;020000;66.4715000;66.8250000;66.4700000;66.5626000;209
USDRUB;60;20181206;030000;66.5348000;66.8250000;65.7996000;66.4641000;5010
USDRUB;60;20181206;040000;66.4823000;66.5884000;66.2417000;66.5817000;799
USDRUB;60;20181206;050000;66.5854000;66.6260000;66.5399000;66.6074000;1396
USDRUB;60;20181206;060000;66.6079000;66.6250000;66.5337000;66.5814000;1129
USDRUB;60;20181206;070000;66.6068000;66.6300000;66.5040000;66.5241000;987
USDRUB;60;20181206;080000;66.5619000;66.5645000;66.4655000;66.4700000;449
USDRUB;60;20181206;090000;66.4974000;66.5250000;66.4601000;66.5014000;1905
USDRUB;60;20181206;100000;66.5289000;66.7523000;66.4832000;66.6705000;1841
USDRUB;60;20181206;110000;66.6835000;66.7990000;66.5958000;66.7074000;39638
USDRUB;60;20181206;120000;66.7218000;66.8548000;66.6437000;66.8300000;55260
USDRUB;60;20181206;130000;66.8314000;67.1034000;66.7541000;67.0389000;63813
USDRUB;60;20181206;140000;67.0389000;67.2320000;66.9655000;67.0318000;68446
USDRUB;60;20181206;150000;67.0318000;67.0399000;66.7435000;66.9097000;51665
USDRUB;60;20181206;160000;66.9182000;67.0018000;66.8240000;66.9770000;47730
USDRUB;60;20181206;170000;66.9843000;67.0195000;66.7544000;66.9613000;43603
USDRUB;60;20181206;180000;66.9450000;66.9912000;66.7293000;66.9040000;40633
USDRUB;60;20181206;190000;66.9040000;67.0344000;66.8006000;67.0068000;42631
USDRUB;60;20181206;200000;67.0068000;67.1470000;66.8300000;66.9954000;35453
USDRUB;60;20181206;210000;67.0034000;67.0034000;66.7470000;66.8231000;21144
USDRUB;60;20181206;220000;66.8231000;66.9233000;66.7703000;66.8081000;14954
USDRUB;60;20181206;230000;66.8216000;66.8799000;66.6828000;66.7890000;17919
USDRUB;60;20181207;000000;66.7890000;66.9075000;66.7325000;66.8660000;9971
USDRUB;60;20181207;010000;66.8664000;67.0750000;66.6146000;66.7733000;1701
USDRUB;60;20181207;020000;66.8378000;66.9227000;66.6380000;66.7063000;330
USDRUB;60;20181207;030000;66.6893000;66.9176000;66.1824000;66.7516000;398
USDRUB;60;20181207;040000;66.7648000;66.8588000;66.4667000;66.7840000;813
USDRUB;60;20181207;050000;66.7803000;66.7970000;66.5548000;66.7862000;78
USDRUB;60;20181207;060000;66.7980000;66.8492000;66.6912000;66.7475000;749
USDRUB;60;20181207;070000;66.8065000;66.8285000;66.6817000;66.7062000;132
USDRUB;60;20181207;080000;66.7129000;66.8866000;66.5229000;66.6585000;229
USDRUB;60;20181207;090000;66.6585000;66.8700000;66.6066000;66.7060000;1028
USDRUB;60;20181207;100000;66.7133000;66.9472000;66.6791000;66.8490000;723
USDRUB;60;20181207;110000;66.8855000;67.0593000;66.7777000;66.8520000;43911
USDRUB;60;20181207;120000;66.8515000;66.8818000;66.7001000;66.8090000;63129
USDRUB;60;20181207;130000;66.8244000;66.9435000;66.7697000;66.9015000;53751
USDRUB;60;20181207;140000;66.8668000;66.9743000;66.8302000;66.9080000;50203
USDRUB;60;20181207;150000;66.9117000;67.0350000;66.8305000;66.9785000;47825
USDRUB;60;20181207;160000;66.9316000;66.9835000;66.7976000;66.9511000;48565
USDRUB;60;20181207;170000;66.9477000;66.9547000;66.1038000;66.1663000;58892
USDRUB;60;20181207;180000;66.1504000;66.2670000;65.9553000;66.1090000;48089
USDRUB;60;20181207;190000;66.1090000;66.2639000;66.0365000;66.1671000;31150
USDRUB;60;20181207;200000;66.1807000;66.3972000;66.0978000;66.3555000;29236
USDRUB;60;20181207;210000;66.3555000;66.3915000;66.2040000;66.2403000;20463
USDRUB;60;20181207;220000;66.2436000;66.3565000;66.1852000;66.3266000;17864
USDRUB;60;20181207;230000;66.3273000;66.4081000;66.2952000;66.3969000;18138
USDRUB;60;20181208;000000;66.3969000;66.4536000;66.3100000;66.3700000;11730
USDRUB;60;20181208;010000;66.3984000;66.4455000;66.3515000;66.4035000;1029
USDRUB;60;20181208;020000;66.4260000;66.4556000;66.3934000;66.4036000;23
USDRUB;60;20181208;030000;66.4036000;66.4036000;66.4036000;66.4036000;10
USDRUB;60;20181209;210000;66.4030000;66.4030000;66.4030000;66.4030000;12
USDRUB;60;20181209;220000;66.4030000;66.4200000;66.4030000;66.4115000;13
USDRUB;60;20181209;230000;66.4115000;66.4115000;66.4115000;66.4115000;12
USDRUB;60;20181210;000000;66.4115000;66.4782000;66.3400000;66.3752000;23
USDRUB;60;20181210;010000;66.3776000;66.4415000;66.3692000;66.3920000;31
USDRUB;60;20181210;020000;66.4133000;66.5182000;66.2650000;66.5182000;39
USDRUB;60;20181210;030000;66.5230000;66.5246000;66.2539000;66.2654000;232
USDRUB;60;20181210;040000;66.2867000;66.6139000;66.2639000;66.4814000;427
USDRUB;60;20181210;050000;66.4989000;66.6575000;66.4282000;66.4727000;1159
USDRUB;60;20181210;060000;66.4490000;66.6388000;66.2640000;66.4990000;2485
USDRUB;60;20181210;070000;66.5235000;66.6216000;66.1814000;66.3053000;2486
USDRUB;60;20181210;080000;66.4043000;66.4367000;66.1776000;66.3295000;158
USDRUB;60;20181210;090000;66.4231000;66.4728000;66.2741000;66.3354000;1059
USDRUB;60;20181210;100000;66.3788000;66.4000000;66.2490000;66.3020000;1965
USDRUB;60;20181210;110000;66.3255000;66.3592000;66.1190000;66.2068000;45397
USDRUB;60;20181210;120000;66.2069000;66.3106000;66.0893000;66.2313000;61029
USDRUB;60;20181210;130000;66.2314000;66.2989000;66.1102000;66.2751000;46577
USDRUB;60;20181210;140000;66.2751000;66.4601000;66.2129000;66.3910000;58103
USDRUB;60;20181210;150000;66.3910000;66.4692000;66.2618000;66.4195000;51723
USDRUB;60;20181210;160000;66.3707000;66.5080000;66.3342000;66.4382000;56688
USDRUB;60;20181210;170000;66.4374000;66.5669000;66.3432000;66.5134000;65911
USDRUB;60;20181210;180000;66.5241000;66.5869000;66.3719000;66.4920000;58042
USDRUB;60;20181210;190000;66.4920000;66.5788000;66.3457000;66.5618000;47888
USDRUB;60;20181210;200000;66.5647000;66.6265000;66.4616000;66.5328000;42808
USDRUB;60;20181210;210000;66.5328000;66.6865000;66.4556000;66.5828000;20984
USDRUB;60;20181210;220000;66.5828000;66.6343000;66.5150000;66.5863000;12193
USDRUB;60;20181210;230000;66.5879000;66.6713000;66.5478000;66.6590000;11468
USDRUB;60;20181211;000000;66.6590000;66.7448000;66.6090000;66.6260000;8850
USDRUB;60;20181211;010000;66.6844000;66.7533000;66.6215000;66.6879000;3200
USDRUB;60;20181211;020000;66.7075000;66.7506000;66.5320000;66.7092000;138
USDRUB;60;20181211;030000;66.6867000;66.7098000;66.5987000;66.6482000;60
USDRUB;60;20181211;040000;66.6844000;66.9142000;66.3569000;66.7336000;206
USDRUB;60;20181211;050000;66.7018000;66.9881000;66.6478000;66.7491000;308
USDRUB;60;20181211;060000;66.6998000;66.7496000;66.6104000;66.6499000;82
USDRUB;60;20181211;070000;66.6766000;66.6820000;66.5615000;66.5756000;91
USDRUB;60;20181211;080000;66.6111000;66.7132000;66.5415000;66.6730000;207
USDRUB;60;20181211;090000;66.6801000;66.8607000;66.4060000;66.4066000;1131
USDRUB;60;20181211;100000;66.4066000;66.9548000;66.3881000;66.4878000;615
